id,omission_target,addition_target,word_meaning_target,fluency_target,omission_gpt,addition_gpt,word_meaning_gpt,fluency_gpt,omission_llama,addition_llama,word_meaning_llama,fluency_llama,omission_azure,addition_azure,word_meaning_azure,fluency_azure
handbook-001,1,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-002,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,5
handbook-003,1,0,1,5,1,0,1,5,1,0,0,4,1,0,1,5
handbook-004,0,0,0,4,1,1,1,4,1,1,1,5,1,1,1,5
handbook-005,1,1,1,3,1,1,1,4,1,1,1,5,1,1,1,5
handbook-006,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-007,1,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-008,1,1,1,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-009,1,1,1,4,1,1,1,5,1,1,1,5,1,1,1,4
handbook-010,1,0,1,3,1,0,1,4,1,0,1,5,1,0,1,5
handbook-011,1,1,1,5,1,1,1,5,1,1,1,5,1,0,1,4
handbook-012,1,1,1,5,1,1,1,5,1,1,1,5,0,1,0,4
handbook-013,1,1,1,5,1,1,1,5,1,1,1,4,1,0,1,5
handbook-014,1,1,1,5,1,1,1,5,1,1,1,5,1,0,0,4
handbook-015,1,1,1,5,1,1,1,5,1,0,1,4,1,1,1,5
handbook-016,1,1,1,5,1,1,1,4,1,1,1,4,1,0,0,3
handbook-017,1,1,1,3,1,1,1,5,1,1,1,5,1,1,0,4
handbook-018,1,1,1,4,0,0,0,2,1,1,1,4,1,1,1,5
handbook-019,1,1,1,5,1,1,1,5,0,1,0,3,0,0,0,4
handbook-021,0,1,0,5,0,1,0,5,1,1,1,5,0,1,0,5
handbook-022,1,0,1,4,1,0,1,5,1,0,0,3,1,0,0,4
handbook-023,1,0,1,5,1,0,1,5,1,0,1,5,1,0,1,5
handbook-024,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,4
handbook-025,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,5
handbook-026,1,0,1,5,1,0,1,5,1,0,0,5,1,0,1,5
handbook-027,1,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-030,1,0,1,5,1,0,1,5,1,0,1,4,1,0,1,5
handbook-031,1,1,1,4,1,1,1,5,1,1,1,4,1,1,1,5
handbook-032,1,1,1,5,1,1,0,5,1,1,1,5,1,1,0,4
handbook-033,0,0,0,5,1,1,1,5,1,1,0,4,1,1,1,5
handbook-034,1,0,1,4,1,0,1,5,1,0,1,4,1,0,1,4
handbook-035,1,1,1,5,1,1,1,5,1,1,0,4,1,1,0,4
handbook-037,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-038,1,0,1,5,1,0,1,5,1,0,1,5,1,0,0,4
handbook-039,1,1,1,5,1,1,1,5,1,1,1,5,1,0,0,4
handbook-045,1,1,1,5,1,1,1,4,1,1,0,4,0,0,0,3
handbook-046,1,0,1,5,1,0,1,5,1,1,1,5,1,0,1,5
handbook-047,1,1,1,4,1,1,1,5,1,0,0,3,1,1,1,5
handbook-048,1,1,1,5,1,1,1,5,1,1,1,5,1,0,1,5
handbook-049,1,1,1,5,1,1,1,5,1,1,1,5,1,0,0,4
handbook-051,1,1,1,5,1,1,1,5,1,1,1,5,1,0,1,4
handbook-052,1,1,1,5,1,1,1,5,1,1,1,3,1,1,1,5
handbook-053,1,1,1,5,1,1,1,5,1,1,1,3,1,1,1,5
handbook-054,1,1,1,5,1,1,1,5,1,1,1,5,0,1,1,5
handbook-055,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5
handbook-056,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-057,1,0,0,5,1,1,1,5,1,1,1,5,1,0,0,5
handbook-058,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-060,1,0,1,5,1,0,1,5,1,0,1,5,1,0,0,4
handbook-061,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,4
handbook-062,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,4
handbook-064,1,1,1,4,1,1,1,5,1,1,1,5,1,0,1,4
handbook-068,1,1,0,4,1,0,1,4,1,0,0,4,1,0,1,5
handbook-069,1,1,1,5,0,1,1,5,1,1,1,5,0,1,0,5
handbook-071,1,1,1,4,1,1,1,5,1,1,1,3,1,1,0,4
handbook-072,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,4
handbook-074,1,1,1,5,1,1,1,5,1,1,1,5,1,0,1,4
handbook-075,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-076,1,1,1,5,1,1,1,5,1,1,1,5,1,0,0,5
handbook-077,0,1,0,3,1,1,1,5,1,1,1,5,1,1,1,4
handbook-078,1,1,0,5,1,0,1,5,0,1,0,5,0,1,0,4
handbook-079,1,1,1,5,1,1,1,5,1,0,0,3,1,1,1,5
handbook-080,1,0,1,5,1,0,1,5,1,0,0,4,1,0,0,3
handbook-081,1,1,1,5,1,1,1,5,1,1,1,5,1,0,0,4
